ticker,shortName,longName,exchange,previousClose
AAPL,Apple Inc.,Apple Inc.,NMS,191.94
MSFT,Microsoft Corporation,Microsoft Corporation,NMS,343.77
GOOG,Alphabet Inc.,Alphabet Inc.,NMS,120.31
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",NMS,130.0
NVDA,NVIDIA Corporation,NVIDIA Corporation,NMS,443.09
TSLA,"Tesla, Inc.","Tesla, Inc.",NMS,260.02
BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,NYQ,345.76
META,"Meta Platforms, Inc.","Meta Platforms, Inc.",NMS,294.26
V,Visa Inc.,Visa Inc.,NYQ,239.25
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,NYQ,506.53
LLY,Eli Lilly and Company,Eli Lilly and Company,NYQ,462.04
WMT,Walmart Inc.,Walmart Inc.,NYQ,158.37
JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,NYQ,154.95
JNJ,Johnson & Johnson,Johnson & Johnson,NYQ,170.19
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,NYQ,103.89
MA,Mastercard Incorporated,Mastercard Incorporated,NYQ,397.49
PG,Procter & Gamble Company (The),The Procter & Gamble Company,NYQ,152.93
AVGO,Broadcom Inc.,Broadcom Inc.,NMS,896.75
ORCL,Oracle Corporation,Oracle Corporation,NYQ,117.65
HD,"Home Depot, Inc. (The)","The Home Depot, Inc.",NYQ,320.47
MRK,"Merck & Company, Inc.","Merck & Co., Inc.",NYQ,110.39
CVX,Chevron Corporation,Chevron Corporation,NYQ,158.69
KO,Coca-Cola Company (The),The Coca-Cola Company,NYQ,62.44
PEP,"Pepsico, Inc.","PepsiCo, Inc.",NMS,190.16
ABBV,AbbVie Inc.,AbbVie Inc.,NYQ,143.74
COST,Costco Wholesale Corporation,Costco Wholesale Corporation,NMS,557.86
BAC,Bank of America Corporation,Bank of America Corporation,NYQ,31.98
ADBE,Adobe Inc.,Adobe Inc.,NMS,520.23
MCD,McDonald's Corporation,McDonald's Corporation,NYQ,295.61
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",NMS,52.63
CRM,"Salesforce, Inc.","Salesforce, Inc.",NYQ,228.06
PFE,"Pfizer, Inc.",Pfizer Inc.,NYQ,37.4
TMO,Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc.,NYQ,562.19
NFLX,"Netflix, Inc.","Netflix, Inc.",NMS,427.5
ABT,Abbott Laboratories,Abbott Laboratories,NYQ,114.29
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",NMS,110.95
DHR,Danaher Corporation,Danaher Corporation,NYQ,255.88
CMCSA,Comcast Corporation,Comcast Corporation,NMS,42.89
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",NMS,140.9
NKE,"Nike, Inc.","NIKE, Inc.",NYQ,109.06
DIS,Walt Disney Company (The),The Walt Disney Company,NYQ,87.18
WFC,Wells Fargo & Company,Wells Fargo & Company,NYQ,45.96
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,NMS,184.32
VZ,Verizon Communications Inc.,Verizon Communications Inc.,NYQ,33.88
UPS,"United Parcel Service, Inc.","United Parcel Service, Inc.",NYQ,187.3
PM,Philip Morris International Inc,Philip Morris International Inc.,NYQ,97.52
NEE,"NextEra Energy, Inc.","NextEra Energy, Inc.",NYQ,75.9
RTX,Raytheon Technologies Corporati,RTX Corporation,NYQ,96.39
MS,Morgan Stanley,Morgan Stanley,NYQ,94.01
INTC,Intel Corporation,Intel Corporation,NMS,34.02
HON,Honeywell International Inc.,Honeywell International Inc.,NMS,208.6
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,NYQ,64.68
LOW,"Lowe's Companies, Inc.","Lowe's Companies, Inc.",NYQ,233.78
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,NMS,124.72
BA,Boeing Company (The),The Boeing Company,NYQ,211.8
AXP,American Express Company,American Express Company,NYQ,170.22
SPGI,S&P Global Inc.,S&P Global Inc.,NYQ,423.29
INTU,Intuit Inc.,Intuit Inc.,NMS,492.52
CAT,"Caterpillar, Inc.",Caterpillar Inc.,NYQ,257.65
UNP,Union Pacific Corporation,Union Pacific Corporation,NYQ,216.78
COP,ConocoPhillips,ConocoPhillips,NYQ,112.89
IBM,International Business Machines,International Business Machines Corporation,NYQ,138.94
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",NMS,136.4
AMGN,Amgen Inc.,Amgen Inc.,NMS,234.82
DE,Deere & Company,Deere & Company,NYQ,436.93
GE,General Electric Company,General Electric Company,NYQ,110.33
LMT,Lockheed Martin Corporation,Lockheed Martin Corporation,NYQ,454.76
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",NMS,336.66
PLD,"Prologis, Inc.","Prologis, Inc.",NYQ,125.44
T,AT&T Inc.,AT&T Inc.,NYQ,14.76
NOW,"ServiceNow, Inc.","ServiceNow, Inc.",NYQ,582.02
SYK,Stryker Corporation,Stryker Corporation,NYQ,295.59
SBUX,Starbucks Corporation,Starbucks Corporation,NMS,102.82
GS,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",NYQ,351.96
ELV,"Elevance Health, Inc.","Elevance Health, Inc.",NYQ,475.93
BLK,"BlackRock, Inc.","BlackRock, Inc.",NYQ,751.21
SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation,NYQ,66.48
MDLZ,"Mondelez International, Inc.","Mondelez International, Inc.",NMS,73.98
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,NMS,2923.24
TJX,"TJX Companies, Inc. (The)","The TJX Companies, Inc.",NYQ,85.58
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",NMS,80.64
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",NMS,191.96
MMC,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc.",NYQ,191.43
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",NMS,237.69
AMT,American Tower Corporation (REI,American Tower Corporation,NYQ,184.89
CVS,CVS Health Corporation,CVS Health Corporation,NYQ,75.05
VRTX,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated,NMS,362.46
C,"Citigroup, Inc.",Citigroup Inc.,NYQ,47.05
UBER,"Uber Technologies, Inc.","Uber Technologies, Inc.",NYQ,47.23
LRCX,Lam Research Corporation,Lam Research Corporation,NMS,623.63
CI,The Cigna Group,The Cigna Group,NYQ,293.77
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc.",NYQ,285.14
MO,"Altria Group, Inc.","Altria Group, Inc.",NYQ,45.6
ABNB,"Airbnb, Inc.","Airbnb, Inc.",NMS,148.77
ZTS,Zoetis Inc.,Zoetis Inc.,NYQ,183.51
PGR,Progressive Corporation (The),The Progressive Corporation,NYQ,124.39
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",NMS,243.82
FI,"Fiserv, Inc.","Fiserv, Inc.",NYQ,128.53
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",NMS,734.63
SO,Southern Company (The),The Southern Company,NYQ,73.06
