ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
AAPL,2023-07-18,Technology,28.470194,193.08,193.07,194.48,124.17,193.35,193.99,18627760,0.764,47091480,3036740321280,193.655,192.76
MSFT,2023-07-18,Technology,33.21389,356.21,355.81,358.97,213.43,345.83,345.73,21895832,1.655,23872280,2665176891392,358.97,342.188
GOOG,2023-07-18,Communication Services,9.108353,123.73,123.74,129.55,83.45,124.905,125.06,8332115,2.195,21641350,1569309327360,124.99,123.3
AMZN,2023-07-18,Consumer Cyclical,12.985361,132.29,132.27,146.57,81.43,132.71,133.56,23743105,0.689,47653200,1359804760064,132.731,131.355
NVDA,2023-07-18,Technology,173.42868,466.15,465.6,480.88,108.13,467.01,464.61,25836168,2.672,40718960,1156058841088,469.28,457.34
TSLA,2023-07-18,Consumer Cyclical,18.266605,288.48,288.41,314.66666,101.81,290.15,290.38,54321033,0.932,115578030,914480627712,290.5199,286.01
BRK-B,2023-07-18,Financial Services,21.407164,345.43,345.31,347.25,259.85,344.05,344.25,735049,1.287,2688630,754035654656,347.25,343.54
META,2023-07-18,Communication Services,76.70952,311.11,310.66,316.24,88.09,310.875,310.62,9551360,1.91,29510280,795874230272,312.07,307.64
V,2023-07-18,Financial Services,14.195454,239.84,239.83,245.37,174.6,243.1,243.99,3291673,1.082,5277990,503294787584,243.18,237.68
UNH,2023-07-18,Healthcare,-9.2548485,503.7,503.32,558.1,445.68,489.33,484.08,4150613,0.569,5295990,469382955008,504.42,487.5
LLY,2023-07-18,Healthcare,37.075413,452.5,452.18,469.87,296.32,446.95,447.14,922076,0.789,2620890,428216975360,453.255,445.04
WMT,2023-07-18,Consumer Defensive,19.519913,155.36,155.35,159.12,120.06,154.67,154.85,1485172,0.191,4459560,417753694208,155.66,154.4
JPM,2023-07-18,Financial Services,33.88617,153.63,153.62,154.06,101.28,153.38,153.38,5017327,,,,,
JNJ,2023-07-18,Healthcare,-7.3504567,160.38,160.36,181.04,150.11,159.07,159.07,1571226,0.678,6114930,415750815744,160.89,158.79
XOM,2023-07-18,Energy,14.852154,101.89,101.89,119.92,83.89,100.92,101.38,7902586,1.072,17351660,410685931520,102.2,100.34
MA,2023-07-18,Financial Services,18.16206,397.73,397.58,404.0,276.87,400.42,402.2,938633,0.768,2210350,377075793920,401.94,395.2101
PG,2023-07-18,Consumer Defensive,3.4365416,150.11,150.08,158.11,122.18,148.64,148.99,1670183,0.344,6315700,353616199680,150.48,148.4
AVGO,2023-07-18,Technology,78.850685,901.72,900.65,921.78,415.07,905.98,910.35,843173,1.942,2223750,372006617088,909.9,899.1
ORCL,2023-07-18,Technology,64.57641,119.67,119.65,127.54,60.78,118.78,118.89,2823383,0.775,7561240,324408344576,120.1,117.81
HD,2023-07-18,Consumer Cyclical,5.4097295,316.9,316.88,347.25,265.61,314.53,316.05,782780,0.215,3139880,317931323392,318.32,312.2
MRK,2023-07-18,Healthcare,14.302731,106.87,106.82,119.65,84.52,105.88,105.57,2392679,0.95,7202920,270300807168,107.025,105.73
CVX,2023-07-18,Energy,6.1060786,155.42,155.38,189.68,139.42,152.67,153.44,2319894,1.028,6163590,290082553856,156.07,152.38
KO,2023-07-18,Consumer Defensive,-2.7506769,60.89,60.88,65.47,54.02,60.96,60.81,3510732,0.809,13018820,263020937216,61.2488,60.8
PEP,2023-07-18,Consumer Defensive,9.155596,185.69,185.59,196.88,160.98,185.44,185.63,1515243,0.605,5339970,255451955200,186.815,185.37
ABBV,2023-07-18,Healthcare,-9.95726,137.5,137.49,168.11,130.96,134.8,134.83,2198756,0.659,5199200,241584226304,137.8935,134.71
COST,2023-07-18,Consumer Defensive,6.291449,554.11,553.7,564.75,447.9,552.67,552.96,599387,0.511,1763530,245249179648,554.915,549.39
BAC,2023-07-18,Financial Services,-11.844081,30.73,30.72,38.6,26.32,30.0,29.4,60683969,,,,,
